dish_name,category,price,description,ingredients,tags
JBV Bad-Ass-Veggy-Ninja,Main,14.45,"A savory, pan-fried plant-based patty, nestled in a soft brioche bun, topped with melted cheddar and a crunchy, fresh salad. Finished with a creamy, spicy chipotle-BBQ sauce and a zesty blend of chillipopers, jalapeños, and red onion for an intensely flavored and mouth-watering experience.","Beyond patty, Salat, Brioche, Cheddar, Chippotle-BBq, Chillipopers, Jalapenos & red onion","contains_gluten, contains_sesame,beyond_patty, brioche, burger, cheddar, cheesy, chillipopers, chippotle-bbq, jalapenos_&_red_onion, main, main_dish, meaty-texture, plant-based, salat, savory, spicy, vegetarian"
Vegan Burger,Main,12.5,"A satisfying plant-based burger layered on a light, buttery roll, accented by crisp greens, thinly sliced alliums, and a dual-sauce experience featuring a savory garlic spread and a unique, tangy dip.","Beyond patty, Salat, brioche bun, garlic sauce, Dolly Dip and red onions","contains_gluten, contains_sesame,beyond_patty, brioche_bun, contains-gluten, dolly_dip_and_red_onions, garlic, garlic_sauce, high-protein, main, main_dish, meaty_texture, onion, plant-based, salat, savory, smoky, vegan"
JBS Classic,Main,9.25,"A robust 130-gram patty of premium Austrian beef forms the foundation, complemented by a creamy, tangy ""special sauce,"" crisp lettuce, fresh onion, and slices of tangy sandwich cucumber. This blend offers a balanced mix of rich flavor and satisfying crunch.","130g Austrian beef, burger sauce, onion, lettuce, sandwich cucumber","contains_gluten, contains_sesame,130g_austrian_beef, beefy, burger, burger_sauce, classic, creamy, fresh, lettuce, main, main_dish, meaty, not_halal, onion, sandwich_cucumber, savory, slightly_sweet, umami"
JBS Cheese,Main,10.45,"A savory creation featuring a substantial patty of premium Austrian beef, generously topped with melted cheddar, a creamy burger sauce, and crisp, fresh vegetables, all nestled in a soft bun.","130g Austrian beef, burger sauce, onion, lettuce sandwich gurge cheddar","contains_gluten, contains_eggs, contains_dairy, contains_sesame"
JBS Chilli Cheese,Main,10.55,"A robust 130-gram beef patty, seasoned with a spicy kick from cheddar and jalapeno, is smothered in a savory burger sauce, complemented by the fresh crunch of onion and a unique, tangy sandwich relish.","130g Austrian beef, burger sauce, onion, salad sandwich gurge cheddar jalapeno","contains_gluten, contains_eggs, contains_dairy, contains_sesame,130g_austrian_beef, beefy, burger_sauce, cheesy, main, main_dish, messy, not_halal, onion, salad_sandwich_gurge_cheddar_jalapeno, savory, spicy"
JBS Drunk Bull,Main,11.45,"A savory 130g portion of Austrian beef, drizzled with a robust, flavorful sauce. Served alongside a crunchy nacho-style salad with smoky bacon and finished with a creamy cheddar and garlic topping.","130g Austrian beef, drunken bull sauce, salad nachos bacon, garlic sauce cheddar","contains_gluten, contains_egg, contains_dairy, contains_sesame,130g_austrian_beef, beefy, bold, cheesy, drunken_bull_sauce, garlic_sauce_cheddar, garlicky, hearty, includes_bacon, main, main_dish, not_halal, rich_flavor, salad_nachos_bacon, savory"
JBS Master Of Cheese,Main,12.45,"A juicy Austrian beef patty smothered in a savory, tangy sauce, crowned with a crispy onion ring, smoky bacon, rich cheddar, and a kick of spicy heat.","130g Austrian beef, drunken bull sauce, onion ring, smoked bacon, cheddar sauce and jalapenos","contains_gluten, contains_eggs, contains_dairy, contains_sesame,130g_austrian_beef, beef, cheddar, cheddar_sauce_and_jalapenos, cheesy, drunken_bull_sauce, high_fat, jalapeno, main, main_dish, not_halal, onion, onion_ring, protein, rich, savory, smoked, smoked_bacon, spicy"
The Other Cheeseburger,Main,12.45,"A robust sandwich featuring tender, high-quality Austrian beef, complemented by the tangy sweetness of a tomato barbecue sauce and a subtle sting of honey mustard. It's layered with the crunch of crisp greens, savory smoked bacon, and sharp, bold scamorza cheese, all brought together with the texture of fried onions and cool, fresh cucumber.","130g Austrian beef, tomato BBq, honey mustard, arugula, fried onion, smoked bacon, sandwich cucumber and brutal scamorza","contains_gluten, contains_eggs, contains_dairy, contains_sesame,130g_austrian_beef, american, arugula, bacon, beef, cheesy, dairy, eggs, fried_onion, gluten, honey_mustard, main, main_course, main_dish, meaty, not_halal, rich, sandwich_cucumber_and_brutal_scamorza, savory, sesame, smoked_bacon, smoky, tangy, tomato_bbq"
Steakburgers,Main,10.8,"A savory grilled chicken fillet, kissed by a creamy garlic aioli, balanced with the crisp freshness of green lettuce and a subtle sharpness of sliced onion.","grilled chicken fillet, garlic sauce, lettuce & onion","contains_gluten, contains_eggs, contains_dairy, contains_sesame,chicken, garlic_sauce, garlicky, grilled_chicken, grilled_chicken_fillet, lettuce_&_onion, main, main_dish, not_halal, protein_rich, savory"
Cheesesteak burger,Main,12.3,"Tender, flame-kissed chicken complemented by a rich, savory sauce, topped with creamy dairy and a crisp medley of garden-fresh vegetables.","grilled chicken fillet, garlic sauce, cheese, salad & onion","contains_gluten, contains_eggs, contains_dairy, contains_sesame,beef-alternative, cheese, cheesy, chicken, garlic-flavored, garlic_sauce, grilled, grilled_chicken_fillet, high-protein, indulgent, main, main_dish, not_halal, rich, salad_&_onion, savory, semi-vegetarian-friendly"
Mega Spezialb.,Main,13.5,"A savory masterpiece featuring a perfectly charred protein, layered with smoky, rich cured meat, melty dairy, crisp garden freshness, and a creamy, pungent finishing touch.","grilled chicken fillet, bacon, cheese, lettuce & onion, egg, garlic sauce","contains_gluten, contains_eggs, contains_dairy, contains_sesame,bacon, cheese, cheesy, contains-bacon, contains-chicken, contains-egg, contains-garlic, egg, filling, garlic_sauce, grilled_chicken_fillet, high-protein, lettuce_&_onion, main, main_dish, meaty, not_halal, rich, savory, umami"
Bosna 1 sausage,Main,6.6,"A savory and tangy base is accented by a potent, aromatic blend featuring zesty notes, a pungent undertone, and an exotic spice finish.",Ketchup. Garlic cocktail sauce with onion & curry,"contains_gluten, contains_eggs, contains_dairy,curry_flavor, grilled, ketchup._garlic_cocktail_sauce_with_onion_&_curry, main, main_dish, meat_dish, savory, spicy, street_food"
Bosna 2 sausages,Main,8.3,"A bold, tangy foundation meets a pungent, vibrant condiment, offering layers of savory depth with a warm, spiced finish.",Ketchup. Garlic cocktail sauce with onion & curry,"contains_gluten, contains_eggs, contains_dairy,aromatic, austrian, curry, fast_food, garlic, grilled, ketchup, ketchup._garlic_cocktail_sauce_with_onion_&_curry, main, main_dish, onion, sausage, savory, spicy, street_food, tangy, white_bread"
Bosna 3 Sausages,Main,9.3,"A savory and tangy base is elevated with a pungent, aromatic blend, hinting at a bold, complex profile with warming spice notes.",Ketchup. Garlic cocktail sauce with onion & curry,"contains_gluten, contains_eggs, contains_dairy,austrian, ketchup._garlic_cocktail_sauce_with_onion_&_curry, main, main_dish, meaty, not_halal, not_kosher, not_vegan, not_vegetarian, sandwich, savory, spicy, street_food"
Chicken Bosna Large,Main,9.5,"A savory, crispy-coated chicken breast is topped with a rich, aromatic blend of caramelized, spiced onions and a duo of tangy, classic condiments, including a potent, savory cream.","breaded chicken fillet, garlic sauce, ketchup, cocktail sauce, onions & curry","contains_gluten, contains_eggs, contains_dairy,breaded_chicken_fillet, cocktail_sauce, curried, garlic_sauce, ketchup, main, main_dish, not_halal, onions_&_curry, savory, spicy, street-food, tangy"
Chicken Bosna Small,Main,7.5,"A crispy, savory chicken fillet is complemented by a blend of creamy, pungent garlic and a vibrant, tangy tomato-based cocktail sauce. This is finished with a fragrant, spiced combination of onions and curry.","breaded chicken fillet, garlic sauce, ketchup, cocktail sauce, onions & curry","contains_gluten, contains_eggs, contains_dairy,aromatic, breaded_chicken_fillet, chicken, cocktail_sauce, curried, garlic_sauce, ketchup, main, main_dish, not_halal, onions_&_curry, rich, savory, warming"
Kaskreiner Bosna,Main,9.9,"A savory, pan-seared sausage, deeply flavored with a hint of garlic, is smothered in a rich, tangy tomato-based dressing, finished with a generous dusting of aromatic spices and a sharp crunch of fresh, thinly sliced rings. This quick and comforting meal is a true taste of street food culture.","Butcher's Cascreiner, Garlic Sauce, Ketchup, Cocktail Sauce, Onions & Curry","contains_gluten, contains_eggs, contains_dairy,butcher's_cascreiner, cheesy, cocktail_sauce, curry, garlic_sauce, grilled, hearty, ketchup, main, main_dish, mustard, onions_&_curry, savory, street_food, tangy"
Sale Bosna,Main,12.5,"A savory breaded delight, paired with crisp greens and vibrant garden selections, all enhanced by a trio of creamy, tangy, and spiced sauces.","breaded chicken fillet, lettuce, cheese, tomato, garlic sauce, ketchup, cocktail sauce, onions & curry","contains_gluten, contains_eggs, contains_dairy,austrian_street_food, breaded_chicken_fillet, cheese, chicken, cocktail_sauce, fried, garlic_sauce, ketchup, lettuce, main, main_dish, not_halal, onions_&_curry, sandwich, savory, spiced, tomato, zesty"
Grill Plate Special,Main,15.9,"A hearty plate featuring expertly char-grilled meats, including tender chicken and flavorful pork, complemented by savory strips of bacon and perfectly seasoned sausages. Served alongside crisp fries and a medley of oven-roasted garden vegetables.","Grill plate special, with fries, grilled chicken fillet and pork, bacon, sausages, roasted vegetables","contains_eggs, contains_dairy,bacon, contains-chicken, contains-dairy, contains-eggs, contains-pork, grill_plate_special, grilled, grilled_chicken_fillet_and_pork, high-protein, main, main_dish, meat-heavy, not_halal, rich, roasted_vegetables, sausages, savory, umami, with_fries."
Grill Plate Chicken,Main,15.9,"A perfect plate featuring a savory, seared protein alongside seasoned, tender garden selections and classic potato accompaniments, finished with flavorful pairings.","with fries, grilled chicken fillet, roasted vegetables & sauces","contains_eggs, contains_dairy,chicken, fried, grilled, grilled_chicken_fillet, main, main_dish, meaty, not_halal, potato, roasted, roasted_vegetables_&_sauces, savory, vegetable, with_fries"
House slab,Main,18.1,"A hearty, savory house special featuring a duo of expertly grilled meats, crispy bacon, and traditional spiced sausages, served alongside a generous portion of golden fries and a colorful mix of roasted vegetables, all finished with a selection of flavorful sauces.","House platter with fries, grilled chicken fillet and pork, bacon, 5 ceevapcici, sausages, roasted vegetables & sauces","contains_gluten, contains_eggs, contains_dairy, contains_mustard,5_ceevapcici, bacon, contains-beef, contains-chicken, contains-dairy, contains-eggs, contains-fried-elements, contains-gluten, contains-mustard, contains-pork, contains-sauces, contains-vegetables, filling, grilled, grilled_chicken_fillet_and_pork, high-protein, house_platter_with_fries, main, main_dish, meaty, not_halal, platter, rich, roasted_vegetables_&_sauces, sausages, savory"
Pljeska Classic,Main,11.7,"A savory ground meat delight, dressed in a pungent, creamy condiment, served alongside a fresh mix of greens and sharp, aromatic slices.","Minced beef, garlic sauce, salad & Onions","contains_gluten, contains_eggs, contains_dairy, contains_sesame"
Pljeska Cheese,Main,12.8,"A savory meat filling, richly blended with creamy dairy and a tangy, garlicky dressing, all served with crisp, fresh greens.","Minced beef, cheese, garlic sauce, salad & Onion","beef, cheese, cheesy, garlic, garlic_sauce, main, main_course, main_dish, meaty, minced_beef, not_halal, onion, rich, salad_&_onion, savory"
Pljeska Ninja,Main,13.9,"A savory creation featuring rich ground meat and smoky cured pork, enhanced by a sweet and tangy garlic glaze. Crisp greens and sharp pickled vegetables provide a refreshing contrast, finished with the deep flavor of caramelized onions.","Minced beef, bacon, BBQ garlic sauce, sour cucumber, lettuce & roasted onion","bacon, bbq_garlic_sauce, beef, garlic, grilled, hearty, high-protein, lettuce_&_roasted_onion, main, main_dish, meaty, minced_beef, not_halal, onion, savory, smoky, sour, sour_cucumber, tangy"
Pljeaska Texas,Main,13.9,"A savory meat patty blanketed in melted dairy and crisp, smoky pork, drizzled with a pungent, creamy dressing, all topped with fresh garden greens and a sharp allium slice.","Minced beef, cheese, bacon, garlic sauce, lettuce & onion","american-south-flair, bacon, balkan-inspired, beef, cheese, garlic, garlic_sauce, high-protein, lettuce_&_onion, main, main_dish, meat-based, minced_beef, not_halal, robust, savory, seasoned, smoky"
Mini Fries,Side,3.8,"Perfectly petite potato sticks, expertly fried to a golden, irresistible crisp, then lightly dusted with a savory seasoning.","Irish Potato, Salt","crispy, fried, high-calorie, high-carb, irish_potato, potato, salt, salty, savory, side"
Medium Fries,Side,4.5,"Crispy, golden potato sticks, perfectly fried in a blend of vegetable oils, delivering a satisfying crunch and a savory, seasoned flavor.","Irish Potato, Salt","crispy, fried, high-calorie, high-fat, high-sodium, irish_potato, main_dish, potato, salt, salty, savory, side"
Large Fries,Side,6.8,"A generous portion of meticulously prepared, deep-fried potato batons, seasoned to perfection.","Irish Potato, Salt","fried, high-carb, high-fat, high-sodium, irish_potato, potato, salt, salty, side, side_dish, starchy, vegetarian"
Special Fries Medium,Side,5.2,"A generous portion of our signature crispy, golden fries, perfectly seasoned and satisfyingly sized for sharing.","Irish Potato, salt, garlic, cocktail sauce, ketchup, onion and curry","contains_eggs, contains_dairy, contains_mustard,cocktail_sauce, fried, garlic, garlicky, irish_potato, ketchup, onion_and_curry, salt, salty, savory, side, spicy, tangy, vegetarian"
Special Fries Large,Side,7.5,"A generously sized portion of crispy fries topped with savory chicken pieces, melted cheese, and a blend of fresh vegetables, all finished with a delicious dip sauce.","Irish Potato, salt, garlic, cocktail sauce, ketchup, onion and curry","contains_eggs, contains_dairy, contains_mustard,cocktail_sauce, comfort_food, creamy, crispy, fried, garlic, irish_potato, ketchup, loaded, onion_and_curry, salt, savory, side, spicy, tangy"
Zipfer Bier Märzen 0.5L,Drink,4.05,"This bright golden Märzen offers a wonderfully fine malt aroma with fruity notes. It has a pleasantly full and extraordinarily refreshing flavor, balanced by a well-rounded hop note.",,"alcoholic, balanced, dietary:_vegan-friendly, drink, flavor:_fine_malt_aroma, fruity, full-bodied, golden, hoppy, refreshing"
Tegernsee Bier 0.5L,Drink,4.75,"A half-liter of pure Bavarian tradition, crafted with crystal-clear mountain spring water and centuries of brewing heritage, delivering a full-bodied taste with a subtle hoppy edge and satisfying finish.",,"alcohol, crisp, dietary:_contains_gluten, drink, flavor:_bavarian, full-bodied, helles, light, malty, pale_lager, refreshing, smooth, subtle_hops"
Radler 0.5L,Drink,4.05,"This German-style quencher is a refreshing blend of light lager with a zesty, effervescent citrus mixer, perfect for a hot day.",,"beer-based, citrus, drink, effervescent, german-style, light, low-alcohol_(implied), refreshing, zesty"
Cola 0.33l,Drink,3.15,"A sparkling, refreshing beverage, its deep color and distinct taste come from a blend of natural flavorings and caramels, balanced by a hint of acid for a crisp finish.",,"acidic, carbonated, contains-caffeine, contains-caramel-color_(e150d), deep-colored, drink, high-sugar, non-alcoholic, refreshing, sparkling, sweet, ultra-processed"
Cola Zero 0.33l,Drink,3.15,"A crisp, sugar-free, and calorie-free cola beverage with the familiar, refreshing taste of classic Coca-Cola, served in a conveniently sized 0.33L bottle.",,"calorie-free, cola, contains-caffeine, contains-phenylalanine, drink, refreshing, soft-drink, sugar-free, sweetened-with-aspartame-and-acesulfame-potassium, zero-calorie, zero-sugar"
Mezzo Mix 0.33l,Drink,3.15,"A unique European favorite, this refreshing 0.33l cola and orange fusion is a delightfully balanced soda, offering a twist of citrus zest within a classic effervescent base, often likened to a perfect blend of two popular soft drinks.",,"caffeinated, carbonated, citrus, cola, drink, non-alcoholic, orange, refreshing, sweet"
Fanta 0.33l,Drink,3.15,"A crisp, effervescent citrus soda, perfectly packaged for a refreshing break.",,"artificial-coloring, carbonated, citrus, drink, high-sugar, no-juice, orange-flavor, preserved, soda, sweet"
Sprite 0.33l,Drink,3.15,"A refreshing, non-alcoholic carbonated drink with a distinct lemon-lime flavor and a hint of effervescence, balanced by natural sweeteners and purified water.",,"beverage, carbonated, drink, lemon-lime, low_fat, non-alcoholic, refreshing, soda, sweet, zero_protein"
Eistee Pfirsich 0.33l,Drink,3.15,"A refreshing, fruit-forward cold tea beverage in a small serving, bursting with the sweet and summery flavor of peach.",,"beverage, cold, drink, fruit-forward, main_dish, peach, refreshing, summery, sweet, tea"
Eistee Zitrone 0.33l,Drink,3.15,"A refreshing lemon iced tea crafted from an infusion of black tea and rosehips, sweetened lightly, and brightened with a zesty citrus essence.",,"beverage, black_tea, citrus, drink, iced, lemon, lightly_sweetened, refreshing, rosehip, vegan, vegetarian"
Red Bull 0.25L,Drink,4.15,"A vitalizing beverage featuring a unique formula designed to boost alertness and concentration, fueled by essential micronutrients and common carbohydrates.",,"alertness-boosting, artificially_flavored, b-vitamins, caffeinated, citrusy_tang, drink, energy_drink, high_sugar, non-alcoholic, sweet, taurine"
Mineral 0.5l,Drink,3.15,"A refreshing 0.5-liter serving of natural mineral water, often sourced from volcanic springs or preserved environments, known for its unique composition and potential digestive benefits.",,"drink, gluten-free, hydrating, mineral-rich, natural, refreshing, vegan, zero-calorie"
